Step,Reward/Raw_Episode,Reward/Average_100_Episodes,Training/Success_Rate,Safety/Shield_Activations,Training/Episode_Length,Outcome/Type,Training/Learning_Rate,Loss/Policy_Loss,Loss/Value_Loss,Training/Entropy,Training/Approx_KL
1979,153.1112060546875,211.21664428710938,0.019999999552965164,0.0,149.0,1.0,0.0001021999996737577,,,,
1980,197.181884765625,211.0550994873047,0.019999999552965164,0.0,225.0,1.0,0.00010209999891230837,,,,
1981,281.4563293457031,211.99581909179688,0.019999999552965164,0.0,266.0,1.0,0.00010199999815085903,,,,
1982,236.9654998779297,212.11097717285156,0.019999999552965164,0.0,227.0,1.0,0.00010189999738940969,,,,
1983,216.5225067138672,212.44229125976562,0.019999999552965164,0.0,218.0,1.0,0.00010179999662796035,0.01596314087510109,0.20859307050704956,2.6565635204315186,0.004137930925935507
1984,215.88319396972656,212.2107391357422,0.019999999552965164,0.0,205.0,1.0,0.00010170000314246863,,,,
1985,66.82156372070312,210.35617065429688,0.019999999552965164,0.0,122.0,3.0,0.0001016000023810193,,,,
1986,236.11036682128906,210.07798767089844,0.019999999552965164,0.0,197.0,1.0,0.00010150000161956996,,,,
1987,212.52755737304688,210.48309326171875,0.019999999552965164,0.0,189.0,3.0,0.00010140000085812062,,,,
1988,215.11204528808594,210.94692993164062,0.019999999552965164,0.0,225.0,1.0,0.00010130000009667128,,,,
1989,43.47105407714844,209.6437530517578,0.019999999552965164,0.0,101.0,3.0,0.00010119999933522195,,,,
1990,176.65150451660156,209.19898986816406,0.019999999552965164,0.0,178.0,1.0,0.00010109999857377261,,,,
1991,224.81898498535156,208.86329650878906,0.019999999552965164,0.0,179.0,1.0,0.00010099999781232327,,,,
1992,159.95834350585938,208.1185760498047,0.019999999552965164,0.0,192.0,1.0,0.00010089999705087394,,,,
1993,244.82061767578125,208.31723022460938,0.019999999552965164,0.0,205.0,1.0,0.00010080000356538221,,,,
1994,165.19467163085938,207.6820831298828,0.019999999552965164,0.0,166.0,1.0,0.00010070000280393288,-0.003624057862907648,0.3103255033493042,2.656994342803955,0.007010673638433218
1995,223.99354553222656,207.76406860351562,0.019999999552965164,0.0,179.0,1.0,0.00010060000204248354,,,,
1996,232.95346069335938,207.75543212890625,0.019999999552965164,0.0,195.0,1.0,0.0001005000012810342,,,,
1997,169.82762145996094,207.54681396484375,0.019999999552965164,0.0,179.0,1.0,0.00010040000051958486,,,,
1998,176.0276641845703,208.64559936523438,0.019999999552965164,0.0,198.0,3.0,0.00010029999975813553,,,,
